timestamp,tb_cpu,tb_mem_gb,pg_cpu,pg_mem_gb,middts_cpu,middts_mem_gb,host_cpu,host_mem_gb,active_sims
2025-10-02T02:48:18Z,329.57,1.449,0,0,150.63,1.926,71.6,9,5
2025-10-02T02:48:26Z,236.49,1.449,0,0,8.98,2.29,60.6,9,5
2025-10-02T02:48:35Z,289.93,1.449,0,0,14.40,2.29,74.3,9,5
2025-10-02T02:48:44Z,290.94,1.449,0,0,14.08,2.29,75.2,9,5
2025-10-02T02:48:53Z,284.42,1.45,0,0,11.58,2.291,69.3,9,5
2025-10-02T02:49:02Z,323.75,1.45,0,0,12.48,2.291,69.2,9,5
2025-10-02T02:49:11Z,307.77,1.45,0,0,19.26,2.291,72.5,9,5
2025-10-02T02:49:20Z,301.84,1.45,0,0,11.90,2.291,72.0,9,5
2025-10-02T02:49:29Z,330.27,1.45,0,0,14.42,2.291,76.2,9,5
2025-10-02T02:49:38Z,276.78,1.45,0,0,9.77,2.291,66.3,9,5
2025-10-02T02:49:47Z,279.08,1.45,0,0,12.99,2.292,70.8,9,5
2025-10-02T02:49:56Z,257.67,1.45,0,0,12.94,2.291,67.0,9,5
2025-10-02T02:50:04Z,313.69,1.45,0,0,13.08,2.292,70.9,9,5
2025-10-02T02:50:13Z,272.05,1.45,0,0,11.60,2.292,71.1,9,5
2025-10-02T02:50:22Z,5.32,1.45,0,0,0.79,1.84,6.0,9,5
2025-10-02T02:50:31Z,4.59,1.45,0,0,0.49,1.84,4.0,9,5
2025-10-02T02:50:40Z,4.90,1.45,0,0,0.34,1.84,16.2,9,5
2025-10-02T02:50:49Z,4.60,1.45,0,0,0.49,1.84,4.0,9,5
2025-10-02T02:50:58Z,5.06,1.449,0,0,0.79,1.84,9.0,9,5
2025-10-02T02:51:06Z,4.67,1.449,0,0,0.35,1.84,1.0,9,5
2025-10-02T02:51:15Z,4.23,1.449,0,0,0.25,1.84,10.1,9,5
2025-10-02T02:51:24Z,3.87,1.449,0,0,0.26,1.84,5.0,9,5
2025-10-02T02:51:33Z,4.30,1.448,0,0,0.36,1.84,3.9,9,5
2025-10-02T02:51:42Z,4.31,1.448,0,0,0.76,1.84,5.0,9,5
