timestamp,tb_cpu,tb_mem_gb,pg_cpu,pg_mem_gb,middts_cpu,middts_mem_gb,host_cpu,host_mem_gb,active_sims
2025-10-02T02:06:41Z,337.77,1.582,0,0,3.27,1.84,71.7,9,10
2025-10-02T02:06:50Z,432.73,1.582,0,0,88.13,1.875,85.4,10,10
2025-10-02T02:06:59Z,438.63,1.583,0,0,17.57,2.29,86.4,10,10
2025-10-02T02:07:08Z,479.09,1.583,0,0,16.75,2.29,83.8,10,10
2025-10-02T02:07:17Z,482.94,1.584,0,0,16.14,2.29,86.4,10,10
2025-10-02T02:07:26Z,455.72,1.584,0,0,18.68,2.29,82.7,10,10
2025-10-02T02:07:35Z,367.62,1.585,0,0,15.32,2.29,77.7,10,10
2025-10-02T02:07:44Z,462.41,1.585,0,0,16.65,2.291,79.6,10,10
2025-10-02T02:07:53Z,435.82,1.585,0,0,15.34,2.291,79.2,10,10
2025-10-02T02:08:02Z,445.04,1.585,0,0,19.51,2.291,85.1,10,10
2025-10-02T02:08:11Z,464.00,1.585,0,0,15.47,2.291,81.6,10,10
2025-10-02T02:08:20Z,464.27,1.585,0,0,15.03,2.291,84.3,10,10
2025-10-02T02:08:29Z,464.79,1.585,0,0,14.92,2.291,83.2,10,10
2025-10-02T02:08:37Z,468.15,1.586,0,0,16.11,2.291,82.1,10,10
2025-10-02T02:08:46Z,432.34,1.586,0,0,13.16,2.291,87.4,10,10
2025-10-02T02:08:55Z,6.21,1.586,0,0,0.29,1.84,2.0,9,10
2025-10-02T02:09:04Z,5.14,1.585,0,0,0.26,1.84,0.0,9,10
2025-10-02T02:09:13Z,4.77,1.586,0,0,0.89,1.84,4.0,9,10
2025-10-02T02:09:22Z,5.05,1.585,0,0,0.40,1.84,3.1,9,10
2025-10-02T02:09:31Z,4.37,1.585,0,0,0.36,1.84,4.0,9,10
2025-10-02T02:09:40Z,5.78,1.585,0,0,0.25,1.84,3.1,9,10
2025-10-02T02:09:48Z,3.75,1.585,0,0,0.88,1.84,6.9,9,10
2025-10-02T02:09:57Z,3.88,1.585,0,0,0.28,1.84,2.0,9,10
2025-10-02T02:10:06Z,4.55,1.584,0,0,0.27,1.84,4.1,9,10
